file_name,year,month,num_associations,num_firms,HHI
NRED HOA - 06 2015_subset.csv,2015,6,2689,124,412.09030192148185
NRED HOA - 07 2015_subset.csv,2015,7,2683,119,413.87991285393355
NRED HOA - 08 2015_subset.csv,2015,8,2699,125,405.248001915273
NRED HOA - 09 2015_subset.csv,2015,9,2699,125,407.6201290914903
NRED HOA - 10 2015_subset.csv,2015,10,2700,127,405.68724279835396
NRED HOA - 11 2015_subset.csv,2015,11,2697,126,404.60094566684404
NRED HOA - 12 2015_subset.csv,2015,12,2699,126,412.24358067106203
NRED HOA - 01 2016_subset.csv,2016,1,2701,126,415.2383124656206
NRED HOA - 02 2016_subset.csv,2016,2,2724,126,412.30827948016315
NRED HOA - 03 2016_subset.csv,2016,3,2745,124,414.87984445970665
NRED HOA - 04 2016_subset.csv,2016,4,2761,125,417.9561101024109
NRED HOA - 05 2016_subset.csv,2016,5,2770,129,417.9749508008706
NRED HOA - 06 2016_subset.csv,2016,6,2775,129,418.2115088061034
NRED HOA - 07 2016_subset.csv,2016,7,2776,130,419.4739388251708
NRED HOA - 08 2016_subset.csv,2016,8,2784,131,419.57996845686347
NRED HOA - 09 2016_subset.csv,2016,9,2788,133,416.874224232157
NRED HOA - 10 2016_subset.csv,2016,10,2794,133,417.55290122150495
NRED HOA - 11 2016_subset.csv,2016,11,2761,133,413.8947814156432
NRED HOA - 12 2016_subset.csv,2016,12,2798,129,420.61852615035446
NRED HOA - 01 2017_subset.csv,2017,1,2809,123,416.936559380854
NRED HOA - 02 2017_subset.csv,2017,2,2816,121,414.02012848657034
NRED HOA - 03 2017_subset.csv,2017,3,2825,123,417.44224293210107
NRED HOA - 04 2017_subset.csv,2017,4,2750,118,419.1285950413222
NRED HOA - 05 2017_subset.csv,2017,5,2829,119,418.61165995126214
NRED HOA - 06 2017_subset.csv,2017,6,2169,114,413.15013239279926
NRED HOA - 07 2017_subset.csv,2017,7,2843,122,418.51501902408495
NRED HOA - 08 2017_subset.csv,2017,8,2843,121,419.163321331905
NRED HOA - 09 2017_subset.csv,2017,9,2852,120,421.7040181443007
NRED HOA - 10 2017_subset.csv,2017,10,2856,124,418.50073362678404
NRED HOA - 11 2017_subset.csv,2017,11,2858,123,419.2545595313709
NRED HOA - 12 2017_subset.csv,2017,12,2860,121,421.0768252726295
NRED HOA - 01 2018_subset.csv,2018,1,2866,120,420.51844446208383
NRED HOA - 02 2018_subset.csv,2018,2,2880,118,421.02864583333337
NRED HOA - 03 2018_subset.csv,2018,3,2784,116,422.6532567049809
NRED HOA - 04 2018_subset.csv,2018,4,2887,119,421.4189979350359
NRED HOA - 05 2018_subset.csv,2018,5,2903,117,422.40859557190106
NRED HOA - 06 2018_subset.csv,2018,6,2908,116,419.0120125858752
NRED HOA - 07 2018_subset.csv,2018,7,2917,115,420.44854504506986
NRED HOA - 08 2018_subset.csv,2018,8,2928,116,422.153542954403
NRED HOA - 09 2018_subset.csv,2018,9,2937,117,420.55217216755585
NRED HOA - 10 2018_subset.csv,2018,10,2950,119,423.0117782246481
NRED HOA - 11 2018_subset.csv,2018,11,2960,118,425.18946311176046
NRED HOA - 12 2018_subset.csv,2018,12,2968,118,423.5611118780015
NRED HOA - 01 2019_subset.csv,2019,1,2976,118,423.7235699213783
NRED HOA - 02 2019_subset.csv,2019,2,2988,120,419.87898044655196
NRED HOA - 03 2019_subset.csv,2019,3,3003,120,416.7205865507565
NRED HOA - 04 2019_subset.csv,2019,4,3019,122,417.0242982475677
NRED HOA - 05 2019_subset.csv,2019,5,3029,120,419.5091773252529
NRED HOA - 06 2019_subset.csv,2019,6,3035,122,417.207266134526
NRED HOA - 07 2019_subset.csv,2019,7,3038,123,415.38580222167224
NRED HOA - 08 2019_subset.csv,2019,8,3047,128,412.1180382733736
NRED HOA - 09 2019_subset.csv,2019,9,3049,128,413.0813634222534
NRED HOA - 10 2019_subset.csv,2019,10,3065,128,416.0289965377665
NRED HOA - 11 2019_subset.csv,2019,11,3077,129,408.8296395125059
NRED HOA - 12 2019_subset.csv,2019,12,3091,130,407.82870003509424
NRED HOA - 01 2020_subset.csv,2020,1,3093,130,404.173917115596
NRED HOA - 02 2020_subset.csv,2020,2,3101,129,404.41230377776003
NRED HOA - 03 2020_subset.csv,2020,3,3106,128,401.90786252145165
NRED HOA - 04 2020_subset.csv,2020,4,3107,126,408.55760464472326
NRED HOA - 05 2020_subset.csv,2020,5,3033,126,403.8193347189053
NRED HOA - 06 2020_subset.csv,2020,6,3110,126,403.5607572295571
NRED HOA - 07 2020_subset.csv,2020,7,3118,125,402.8441283844638
NRED HOA - 08 2020_subset.csv,2020,8,3118,122,403.3707731103432
NRED HOA - 09 2020_subset.csv,2020,9,3129,122,401.96857386559265
NRED HOA - 10 2020_subset.csv,2020,10,3140,125,401.7931761937605
NRED HOA - 11 2020_subset.csv,2020,11,3141,129,408.388262538338
NRED HOA - 12 2020_subset.csv,2020,12,3146,128,402.9395444179008
NRED HOA - 01 2021_subset.csv,2021,1,3099,116,395.7610117077602
NRED HOA - 02 2021_subset.csv,2021,2,3164,119,395.7308117075636
NRED HOA - 03 2021_subset.csv,2021,3,3088,118,388.5234335149938
NRED HOA - 04 2021_subset.csv,2021,4,3190,120,382.7301225420348
NRED HOA - 05 2021_subset.csv,2021,5,3205,122,371.35326286686404
NRED HOA - 06 2021_subset.csv,2021,6,3113,125,363.86689229719536
NRED HOA - 07 2021_subset.csv,2021,7,3229,132,362.93400595658676
NRED HOA - 08 2021_subset.csv,2021,8,3217,111,369.1503667617507
NRED HOA - 09 2021_subset.csv,2021,9,3222,90,373.366146230081
NRED HOA - 10 2021_subset.csv,2021,10,3238,89,376.2187824403003
NRED HOA - 11 2021_subset.csv,2021,11,3122,88,379.6126023455291
NRED HOA - 12 2021_subset.csv,2021,12,3166,90,377.8479413892635
NRED HOA - 01 2022_subset.csv,2022,1,3240,90,375.5124980948026
NRED HOA - 02 2022_subset.csv,2022,2,3247,93,382.0209202135745
NRED HOA - 03 2022_subset.csv,2022,3,3256,93,380.28263074331886
NRED HOA - 04 2022_subset.csv,2022,4,3261,95,376.88775593206066
NRED HOA - 05 2022_subset.csv,2022,5,3267,95,374.03184716538647
NRED HOA - 06 2022_subset.csv,2022,6,3279,95,374.80930010032694
NRED HOA - 07 2022_subset.csv,2022,7,3279,98,370.1217307808031
NRED HOA - 08 2022_subset.csv,2022,8,3279,98,369.3460496672152
NRED HOA - 09 2022_subset.csv,2022,9,3264,101,366.2203239138791
NRED HOA - 10 2022_subset.csv,2022,10,3202,102,368.0378557904745
NRED HOA - 11 2022_subset.csv,2022,11,3165,109,359.1264047677873
NRED HOA - 12 2022_subset.csv,2022,12,3302,123,353.3089906416499
NRED HOA - 01 2023_subset.csv,2023,1,3241,120,348.3626982693679
NRED HOA - 02 2023_subset.csv,2023,2,3126,119,350.44652633741975
NRED HOA - 03 2023_subset.csv,2023,3,3172,117,351.5291429262031
NRED HOA - 04 2023_subset.csv,2023,4,2840,105,358.2101765522714
NRED HOA - 05 2023_subset.csv,2023,5,3348,109,355.1720101802963
NRED HOA - 06 2023_subset.csv,2023,6,3346,108,355.07867473594365
NRED HOA - 07 2023_subset.csv,2023,7,3351,106,353.73042124724645
NRED HOA - 08 2023_subset.csv,2023,8,3355,107,353.0118314413836
NRED HOA - 09 2023_subset.csv,2023,9,3357,108,353.27281750864654
NRED HOA - 10 2023_subset.csv,2023,10,3255,108,353.9991647023012
NRED HOA - 11 2023_subset.csv,2023,11,3361,106,354.1214878720249
NRED HOA - 12 2023_subset.csv,2023,12,3366,105,357.4982991990437
NRED HOA - 01 2024_subset.csv,2024,1,3367,105,355.152196554038
NRED HOA - 02 2024_subset.csv,2024,2,3373,106,354.51386725069216
NRED HOA - 03 2024_subset.csv,2024,3,3369,106,356.674235722295
NRED HOA - 04 2024_subset.csv,2024,4,3374,105,356.6096468373338
NRED HOA - 05 2024_subset.csv,2024,5,3376,105,356.40308786864625
NRED HOA - 06 2024_subset.csv,2024,6,3381,105,354.4093202781415
NRED HOA - 07 2024_subset.csv,2024,7,3387,105,350.9144927865963
NRED HOA - 08 2024_subset.csv,2024,8,3390,105,353.2252590910278
NRED HOA - 09 2024_subset.csv,2024,9,3435,112,347.26941811856295
NRED HOA - 10 2024_subset.csv,2024,10,3449,114,344.60553947631564
NRED HOA - 11 2024_subset.csv,2024,11,3451,114,342.45970893078504
NRED HOA - 12 2024_subset.csv,2024,12,3455,114,341.32541399553077
NRED HOA - 01 2025_subset.csv,2025,1,3458,113,343.2966230141353
NRED HOA - 02 2025_subset.csv,2025,2,3459,111,342.5339965185866
NRED HOA - 03 2025_subset.csv,2025,3,3458,109,342.6911586480548
NRED HOA - 04 2025_subset.csv,2025,4,3456,100,345.2714415080589
NRED HOA - 05 2025_subset.csv,2025,5,3392,97,340.68090290138844
NRED HOA - 06 2025_subset.csv,2025,6,3460,99,344.8260884092352
